13.55116,-5.594548,0.46
10.9,-3.6,0.46
30.69009,-5.618787,0.46
39.94152,-5.266891,0.46
12.1,-3.600021,0.46
10.9,-3.6,0.46
13.04537,-4.130462,0.46
12.1,-3.600399,0.46
10.9,-3.60269,0.46
10.9,-3.6,0.46
12.29095,-4.667941,0.46
10.9,-3.60269,0.46
10.9,-3.6,0.46
12.29173,-4.667941,0.46
29.61342,-6.66579,0.46
10.9,-3.60269,0.46
10.9,-3.6,0.46
12.01966,13.77135,0.46
10.9,-3.6,0.46
10.9,-3.60269,0.46
10.9,-3.6,0.46
10.9,-3.6,0.46
10.9,-3.6,0.46
10.9,-3.6,0.46
29.57205,-6.603268,0.46
13.60046,-5.594548,0.46
39.9322,-4.825713,0.46
10.9,-3.6,0.46
32.51012,-5.664572,0.46
10.9,-3.60269,0.46
10.9,-3.6,0.46
10.9,-3.6,0.46
11.98547,13.77135,0.46
125.101,-7.122488,0.46
49.89891,-3.581392,0.46
10.9,-3.6,0.46
166.5238,-8.278296,0.46
49.87133,-3.622055,0.46
10.9,-3.6,0.46
49.95443,-1.956977,0.5
11,-5,0.5
13.56882,-5.594548,0.46
10.9,-3.6,0.46
10.9,-3.6,0.46
26.46045,-2.122733,0.46
16.67176,-5.651906,0
49.74681,-9.547865,0.46
10.9,-3.6,0.46
46.75657,-1.896323,0.5
11,-5,0.5
97.85781,-0.2086604,0.5000006
11,-5,0.5
188.9318,-13.61688,0.5000237
-0.29,-5,0.5
71.47071,-26.13725,0.5000003
-0.29,-5,0.5
163.3132,-3.960687,0.5000035
-0.29,-5,0.5
